max_answers_count,115
,
answers_count,count
0,106
1,260
2,154
3,117
4,77
5,51
6,43
7,50
8,22
9,35
10,23
11,15
12,17
13,13
14,16
15,11
16,7
17,15
18,10
19,10
20,4
21,7
22,6
23,10
24,5
25,5
26,5
27,5
28,1
29,4
30,2
31,3
32,2
33,2
34,1
35,2
36,1
37,1
38,3
39,2
40,1
41,1
42,2
43,2
44,2
45,2
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,0
115,1